Word,LgSUBTLCD,Age_Of_Acquisition,NPhon
acorn,1.23,5.95,5
airplane,2.55,3.94,6
almonds,1.58,7.67,6
anchor,2.276,5.72,4
anchovy,0.903,9.32,6
ant,2.049,4.32,3
antenna,1.914,7.05,6
antlers,1.518,NA,6
anvil,1.398,10.79,4
apple,2.839,4.15,3
apron,2.033,6.75,5
arm,3.289,3.26,3
armadillo,1.342,8.609,8
armchair,1.301,6.56,6
armour,1.785,NA,4
arrow,2.297,6.07,3
artichoke,1.38,10,7
ashtray,2.072,5.95,5
asparagus,1.633,6.79,9
avocado,1.643,9.29,7
axe,2.185,6.11,3
backpack,2.121,5.38,6
bacon,2.602,5,5
balcony,2.428,8.1,7
ball,3.316,2.9,3
balloon,2.418,4.37,5
banana,2.513,3.78,6
banjo,1.708,8.44,5
barn,2.598,4.5,4
barrel,2.573,7.72,5
bartender,2.505,8.9,8
baseball,2.807,4.83,6
basket,2.632,5.67,6
basketball,2.624,5.3,9
bat,2.75,4.85,3
bathrobe,1.813,7.9,6
bathtub,2.352,3.22,6
battery,2.602,5.58,6
bear,3.176,3.58,3
beaver,2.107,5.21,4
bed,3.614,2.89,3
bee,2.396,5,2
beetle,1.763,5.32,4
bell,3.015,3.89,3
belt,2.924,4.62,4
bench,2.535,4.21,4
bib,1.38,4.53,3
bicycle,2.38,4.26,6
binoculars,1.845,6.79,10
bird,3.078,3.52,3
bit,3.706,6.47,3
blackberry,1.447,8.95,8
bleachers,1.724,NA,6
blender,1.778,6.84,6
blimp,1.613,6.63,5
block,3.12,4.79,4
blueberry,1.949,6.22,7
bluejay,0.477,5.838,5
boat,3.164,3.84,3
book,3.511,3.68,3
boomerang,1.462,9.79,7
boot,2.574,3.89,3
bottle,3.194,3.56,4
bow,2.785,4.95,2
bowl,2.834,4.26,3
box,3.372,4.3,4
bracelet,2.288,5.68,7
brain,3.3,5.76,4
brick,2.408,6.43,4
bricks,2.176,6.43,5
bride,2.805,5.1,4
bridge,3.02,5.58,4
broccoli,1.839,5.2,7
broom,2.255,5.5,4
bull,2.824,4.53,3
bullet,3.003,6.7,5
bus,3.189,3.85,3
butter,2.828,5.78,4
butterfly,2.272,3.67,7
button,2.955,4.78,4
cabbage,2.041,5.78,5
cactus,1.935,6.72,6
calculator,1.724,8.22,10
calendar,2.362,5.89,7
camel,2.143,5.11,4
camera,3.142,6,5
candle,2.465,5.37,5
candy,2.956,4,5
cane,2.212,5.74,3
cannon,2.408,7.9,5
canoe,1.887,6.63,4
cap,2.792,5.53,3
car,3.712,3.37,3
carnation,1.491,10.21,7
carousel,1.708,6.68,7
carrot,2.093,2.74,5
cart,2.513,6.16,4
castle,2.583,5.8,4
cat,3.142,3.68,3
cathedral,2,10.58,8
cauliflower,1.38,6.18,8
celery,1.806,5.78,6
centipede,1.176,7.39,8
chain,2.869,5.22,3
chair,3.192,3.43,3
chalk,2.158,4.47,3
chard,0.778,14,4
cheese,3.054,4.33,3
cheetah,1.544,8.16,4
cherries,1.903,5.58,5
cherry,2.578,5.58,4
chestnut,1.708,6.55,6
chicken,3.196,3.26,5
chimney,2.146,6.58,5
chopsticks,1.826,NA,8
church,3.127,5.15,3
cigar,2.589,7.67,5
cigarette,2.935,6.39,7
city,3.521,6.56,4
clipboard,1.431,7.76,8
clock,3.215,4.42,4
clog,1.462,9.39,4
clothespin,0.954,7.83,7
cloud,2.59,3.63,4
coat,3.105,3.58,3
coconut,2.149,6.5,7
comb,2.346,5.5,3
compass,2.097,8.44,6
compasses,0.778,NA,8
condom,2.248,12,6
cookie,2.652,3.37,4
cork,2.068,9.05,4
corkscrew,1.653,7.78,8
couch,2.899,3.74,3
cow,2.863,3.94,2
crab,2.276,5.28,4
cracker,2.308,4.9,5
crackers,2.236,4.9,6
crayon,1.322,3.2,5
crib,2.328,6.05,4
crocodile,1.851,5.11,8
croissant,1.591,10.15,7
cross,3.231,4.74,4
crown,2.561,7.8,4
cucumber,1.863,5.72,8
cufflinks,1.114,9.84,8
cup,3.195,3.57,3
cupcake,2.004,4.11,6
curtain,2.521,4.95,4
cymbals,1.255,NA,6
daisy,2.253,5.55,4
Dalmatian,1.301,6.06,7
dart,1.857,7.38,4
dartboard,0.778,8.44,8
deer,2.391,5.17,3
dentist,2.47,5.22,7
deodorant,1.869,8.83,8
diamond,2.676,6.47,6
diaper,2.207,3.4,4
dice,2.471,6.37,3
doghouse,1.672,6.74,6
doll,2.812,3.68,3
dolphin,1.863,6.05,6
donkey,2.212,6,5
doughnut,2.212,5.42,5
dragonfly,1.716,6.8,9
drawer,2.666,5.37,4
dress,3.34,4.05,4
dresser,2.204,4.28,5
drill,2.669,7.14,4
dropper,0.954,8.56,5
drum,2.433,4.63,4
drumsticks,1.176,NA,9
duck,2.848,3.5,3
dustpan,1.041,6.47,6
eagle,2.447,5.83,3
ear,3.044,3.63,2
earring,1.982,7.17,5
earrings,2.295,7.17,6
egg,2.861,3.89,2
eggplant,1.623,8.3,7
elbow,2.398,4.78,4
elephant,2.498,4.8,7
envelope,2.514,6.25,7
eraser,1.462,4.95,5
escalator,1.69,7.11,8
eye,3.507,3.75,1
fan,3.041,5.63,3
feather,2.365,4.67,4
fence,2.743,6.28,4
fig,1.663,8.06,3
finger,3.11,3.43,5
fingerprint,2.045,7.56,10
fireplace,2.279,7.37,7
fish,3.233,4.05,3
flag,2.697,5.33,4
flamingo,1.602,6.32,8
flashlight,2.324,5.61,7
floor,3.437,4.44,4
fly,3.326,3.05,3
flyswatter,0.477,5.79,8
folder,1.792,8.21,5
fondue,1.431,10.78,5
football,2.907,4.84,6
fork,2.501,3.63,4
fountain,2.377,7.17,5
fox,2.613,5.017,4
fridge,2.594,4.67,4
Frisbee,1.771,5.5,6
fritter,1.176,13,5
funnel,1.672,8.44,4
garlic,2.286,6.89,6
gate,2.956,5.32,3
gazebo,1.477,9.76,6
ginger,2.31,8.05,5
glasses,3.004,4.346,6
globe,2.32,6.5,4
gorilla,2.196,5.74,6
grapes,2.114,3.94,5
grasshopper,1.568,5.78,8
grenade,2.19,9.72,6
grill,2.26,6.53,4
guitar,2.534,5.32,5
gun,3.474,5.58,3
hammer,2.598,5.42,4
hammock,1.623,7.11,5
hand,3.745,2.74,4
handcuffs,2.34,6.28,8
hanger,1.74,6.78,4
harmonica,1.653,7.32,9
harp,1.914,7.55,4
hat,3.238,3.33,3
headphones,1.806,7.74,7
helicopter,2.654,5.26,9
helmet,2.483,5.71,6
hen,2.033,6.39,3
hinge,1.447,7.95,4
hippopotamus,1.279,7,11
hoe,1.462,8.72,2
horse,3.198,4.15,4
horseshoe,1.613,5.85,6
house,3.781,3.16,3
hummingbird,1.38,6.95,8
iceberg,1.909,8.21,5
icecube,NA,NA,6
icepack,NA,6.89,5
igloo,1.176,5.42,4
iron,2.795,7.32,3
island,2.836,7.41,5
jacket,2.988,3.95,5
jar,2.474,5.44,3
jeans,2.387,5.26,4
jeep,2.38,6.32,3
jellyfish,1.613,6.61,7
kangaroo,1.778,5.55,7
key,3.336,3.58,2
keyboard,1.826,9.32,6
keys,3.155,3.58,3
kite,1.887,4.58,3
kiwi,1.38,7.56,4
knee,2.728,4.42,2
knife,3.099,4.15,3
ladder,2.497,4.399,4
ladle,1.447,9.83,4
ladybird,0.845,10.53,7
ladybug,1.146,4.84,7
lamp,2.586,4,4
leaf,2.338,4.6,3
lettuce,2.093,4.28,5
level,3.202,6,4
lightbulb,NA,5.89,7
lighter,2.553,7.117,4
lighthouse,1.819,6.11,6
lime,2.093,6.61,3
lion,2.517,4.42,4
lips,3.025,3.79,4
lipstick,2.521,5.42,7
lizard,2.064,5.42,5
llama,1.447,8.61,4
lobster,2.305,7.44,6
lock,3.271,5.74,3
locker,2.692,8.22,4
lollipop,1.792,3.89,7
ludo,0.477,NA,4
lynx,0.301,10.53,5
magnet,1.978,6.1,6
marble,2.19,7.05,5
marker,2.207,4.89,5
mask,2.682,4.8,4
match,3.193,5.72,3
mattress,2.364,5.1,6
medal,2.473,6.83,4
microphone,2.233,6.25,8
microscope,2.017,9.16,9
microwave,2.22,7.67,8
mill,2.283,8.17,3
mirror,2.941,4.89,3
mixer,1.699,7.05,5
monkey,2.894,4.21,5
moon,3.067,4.83,3
moose,2.104,5.22,3
mop,2.182,5.11,3
mosquito,1.881,6.1,7
motorbike,1.544,7.95,7
motorcycle,2.387,5.05,8
mountain,2.947,6.15,5
mouse,2.603,4.94,3
mousetrap,1.447,6.78,7
mouth,3.48,3.58,3
mummy,2.223,5.47,4
mushroom,1.924,6.44,6
mussel,0.954,10,4
nail,2.852,5.42,3
necklace,2.447,5,6
needle,2.636,5.32,4
nose,3.328,2.95,3
nut,2.742,5.21,3
nutcracker,1.505,7.24,8
olive,2.265,6.68,4
orange,2.836,3.26,5
ostrich,1.532,6.42,6
owl,2.14,6.21,2
paint,3.011,4.45,4
paintbrush,1.23,6.22,8
painting,2.806,5.26,6
pan,2.565,4.72,3
panda,1.58,5.67,5
pants,3.248,3.227,5
paper,3.42,4,4
parachute,2.083,7,7
parrot,1.982,5.58,5
pasty,1.477,11.17,5
peach,2.328,4.21,3
peacock,1.763,5.763,5
peanut,2.56,5,5
pear,1.653,4,3
peas,2.215,3.95,3
pelican,1.591,8.22,7
pen,2.912,5.11,3
pencil,2.593,4.06,5
pendant,1.462,10.3,7
penguin,1.785,5.68,7
pepper,2.428,5.47,4
piano,2.777,5.5,5
pie,2.898,3.67,2
pig,3.024,3.84,3
pigeon,2.26,6.21,5
piggybank,NA,5.508,8
pill,2.589,6.06,3
pillow,2.657,3.47,4
pincers,0.845,NA,6
pineapple,1.898,6.25,6
pipe,2.809,8.17,3
pistachio,1.38,8.74,8
pitcher,2.033,6.42,4
pitchfork,1.462,6.89,7
pizza,2.925,4.67,5
plant,2.92,3.95,5
plate,2.967,3.84,4
platypus,0.602,7.71,8
pliers,1.699,7,5
plum,2.053,5.5,4
plunger,1.613,9.63,6
policeman,2.588,4.44,8
pomegranate,1,11.17,10
pool,3.079,5.15,3
popcorn,2.491,4.17,7
poppy,1.792,10.367,4
porcupine,1.362,6.89,9
pot,2.883,5.95,3
potato,2.587,4.84,6
priest,2.719,7.1,5
printer,1.869,7.61,6
pumpkin,2.441,4.78,7
purse,2.828,5.53,3
puzzle,2.396,5.11,4
pyramid,2,7.61,7
rabbit,2.651,3.94,5
raccoon,1.708,6.79,5
radio,3.211,5.17,5
radish,1.431,5.25,5
raisin,1.792,5.05,4
raisins,1.887,NA,5
rake,1.944,5.32,3
raven,1.778,8.56,4
razor,2.403,7.11,4
refrigerator,2.498,4.11,11
rhino,1.613,5.89,4
rhinoceros,1.477,6,9
ribbon,2.196,5.25,5
rice,2.651,3.72,3
ring,3.317,4.53,3
road,3.442,4.55,3
rocket,2.461,5.63,5
roof,3.06,5,3
rooster,2.013,6.41,5
rope,2.816,5.44,3
rose,2.92,6.11,3
rug,2.55,4.61,3
ruler,2.143,5.94,4
safe,3.547,5.11,3
sailboat,1.69,4.65,6
salt,2.788,5.05,4
saltshaker,0.778,5.42,8
sandal,0.954,5.21,5
sandcastle,0.699,5.42,9
sausage,2.356,6.05,5
saw,3.808,5.359,2
saxophone,1.653,9.1,8
scale,2.593,8.85,4
scarf,2.22,5.68,5
scissors,2.318,4.5,5
scooter,1.898,6.68,5
scorpion,1.748,7.84,8
screw,3.127,6.65,4
screwdriver,1.929,6,9
sea,3.132,4.74,2
seagull,1.544,5.42,5
seahorse,0.903,5.83,6
seal,2.675,5.42,3
seesaw,1.176,4.81,4
shanty,1.204,13.33,5
shark,2.413,5.47,4
sheep,2.594,4.25,3
shield,2.41,6.5,4
ship,3.066,5.33,3
shirt,3.146,3.53,3
shoe,2.951,2.6,2
shoelace,1.431,4.16,5
shorts,2.553,3.95,5
shovel,2.403,6.28,4
shower,3.114,4.72,3
showerhead,0.903,8.05,6
shrimp,2.393,7.11,5
sink,2.811,4.47,4
skate,2.093,5.37,4
ski,2.348,6.68,3
skirt,2.587,5.67,4
skis,1.724,6.68,4
skittle,0.301,NA,5
skunk,2.033,5.32,5
skyscraper,1.532,8.26,9
sled,1.799,4.89,4
slide,2.756,4.79,4
slingshot,1.663,6.53,7
slipper,1.716,5.26,5
snake,2.722,5.1,4
snowman,1.724,3.47,6
snowshoe,0.477,7.68,5
soap,2.713,3.17,3
sock,2.481,2.94,3
sofa,2.356,4.5,4
soldier,2.92,6.94,5
spaghetti,2.29,4.33,7
spatula,1.505,7.32,7
speaker,2.426,6.11,5
spear,2.037,7.22,4
spider,2.365,3.43,5
sponge,2.358,5,5
spoon,2.433,2.5,4
squid,1.881,7.32,5
squirrel,2.22,4.44,7
stairs,2.928,4.22,5
stapler,1.491,5.83,6
staples,1.415,7.18,6
starfish,1.301,5.76,7
statue,2.502,7.55,5
stocking,2.033,6.68,6
stove,2.452,4.32,4
strainer,1.079,9.63,6
straw,2.393,4.22,4
strawberry,2.223,4.21,8
stroller,1.447,7.84,6
submarine,2.149,7.94,8
suitcase,2.571,8.22,6
sun,3.292,3.4,3
sunglasses,2.137,5.56,9
surfboard,1.477,NA,7
sushi,2.161,11.19,4
swan,2.033,6.318,4
sweater,2.669,5.22,5
swing,2.933,4.16,4
sword,2.666,5.45,4
swordfish,1.398,9.33,7
table,3.461,4.39,4
tambourine,1.518,6.53,8
tampon,1.462,12.11,6
tank,2.829,7.17,4
tape,3.172,4.42,3
teabag,0.477,6.67,5
teapot,1.556,6.22,5
telescope,1.944,6.95,8
tent,2.649,5.16,4
thermometer,1.898,6.63,8
thermos,1.568,8.29,5
thimble,1.114,8.05,5
tie,3.17,4.74,2
tiger,2.645,4,4
tile,1.898,6.8,3
tire,2.584,6.16,3
toast,3.043,4.67,4
toaster,2.075,6.72,5
toe,2.588,3,2
toilet,2.98,3.54,5
tongs,1.398,7.778,4
tongue,3.048,4.47,3
toothpick,1.58,6.83,6
toucan,0.602,8.69,5
tower,2.733,6.33,3
tractor,2.029,5.5,6
trailer,2.465,6.37,5
train,3.246,4,4
trampoline,1.415,6.79,9
treadmill,1.568,11.15,7
tree,3.21,3.57,3
triangle,2.1,4.9,7
tricycle,1.255,4.05,7
tripod,1.505,9.26,6
trophy,2.354,5.55,5
truck,3.192,3.79,4
trumpet,2,6.28,7
tulip,1.431,7.149,5
turnstile,1.079,13.67,7
turtle,2.415,4.17,4
tweezers,1.653,NA,6
undershirt,1.176,5.56,7
unicorn,1.58,4.83,8
urinal,1.568,8.47,6
vacuum,2.32,6.74,6
van,2.962,5.199,3
vase,2.086,7.89,3
violin,2.09,7.45,6
volcano,2.037,6.74,7
volleyball,1.708,7.05,7
vulture,1.813,8.89,5
waffle,1.857,5.32,4
waiter,2.638,8.28,4
wallet,2.839,5.89,5
walnut,1.771,6.16,6
walrus,1.613,5.06,6
wasp,1.643,5.58,4
watch,3.77,4.33,3
waterfall,1.833,5.47,7
watermelon,1.839,4.22,9
wave,2.833,4.26,3
well,3.911,6.158,3
wheat,2.31,6.53,4
wheel,2.93,4.4,4
wheelbarrow,1.38,6.78,8
wheelchair,2.337,6.89,7
whisk,1.477,8.72,5
window,3.388,4.74,5
wine,3.182,7.9,3
wolf,2.576,4.5,4
worm,2.435,3.89,3
wrench,2.107,7.84,4
xylophone,0.903,7.11,7
zebra,1.771,4.79,5
zipper,2.075,5,4
zucchini,1.342,6.79,6
accordion,1.672,8.61,8
chest,3.071,5.05,4
flower,2.799,3.11,4
giraffe,1.763,5,5
lemon,2.538,4.74,5
mailbox,2.201,6.11,7
onion,2.185,6.05,5
skateboard,1.785,6.94,8
stool,2.196,6.21,4
tomato,2.31,4.61,6
toothbrush,2.286,4.33,7
umbrella,2.322,5.68,7
windmill,1.602,5.32,7
airhockeytable,,,
badmintonracket,,,
bagel,,,
bandaid,,,
baseballbat,,,
bedsidetable,,,
beerbottle,,,
birdfeeder,,,
birdhouse,,,
birdsnest,,,
bottlecap,,,
bowlingball,,,
bowlingpin,,,
bowtie,,,
boxingglove,,,
boxinggloves,,,
brassknuckles,,,
brownsugar,,,
bumpercar,,,
candycane,,,
canopener,,,
cashregister,,,
ceilingfan,,,
cellphone,,,
chainsaw,,,
chefshat,,,
chorizo,,,
christmaslights,,,
christmastree,,,
coffeebeans,,,
coffeemachine,,,
cookiecutter,,,
cruiseship,,,
discoball,,,
dreamcatcher,,,
ducttape,,,
eiffeltower,,,
exitsign,,,
eyepatch,,,
felttippen,,,
fillingcabinet,,,
firehydrant,,,
firetruck,,,
fishingpole,,,
fishingrod,,,
fishtank,,,
footballhelmet,,,
fortunecookie,,,
fountainpen,,,
fryingpan,,,
golfball,,,
granolabar,,,
guitarcase,,,
hairclip,,,
highchair,,,
hockeypuck,,,
hockeystick,,,
hotdog,,,
hulahoop,,,
icecreamcone,,,
ipad,,,
ironingboard,,,
jackhammer,,,
jellybeans,,,
jumprope,,,
kiwifruit,,,
kneepad,,,
laptop,,,
lawnmower,,,
leafblower,,,
licenseplate,,,
lightswitch,,,
magnifyingglass,,,
maracas,,,
measuringcup,,,
measuringtape,,,
mebrulee,,,
mecaramel,,,
mrpotatohead,,,
musicsheet,,,
nailclipper,,,
nailpolish,,,
noparkingsign,,,
nosmokingsign,,,
nunchuks,,,
paintroller,,,
palmtree,,,
paperclip,,,
parkingmeter,,,
partyhat,,,
pencilcase,,,
pencilsharpener,,,
pictureframe,,,
pingpongtable,,,
pirateflag,,,
pokerchips,,,
polarbear,,,
pooltable,,,
popsicle,,,
punchingbag,,,
puzzlepiece,,,
qtip,,,
railroadtracks,,,
rasberry,,,
razorshell,,,
recyclingbin,,,
rockingchair,,,
rollerblade,,,
rollerskate,,,
rollingpin,,,
rubikcube,,,
safetypin,,,
salsa,,,
schoolbus,,,
sewingmachine,,,
shipinabottle,,,
skiboot,,,
snowboard,,,
soccerball,,,
spicerack,,,
spiderweb,,,
spinningtop,,,
stapleremover,,,
steeringwheel,,,
stoplight,,,
tablefootball,,,
taperecorder,,,
teddybear,,,
teepee,,,
tennisball,,,
tennisracket,,,
toiletpaper,,,
toolbox,,,
totempole,,,
toyhorse,,,
toysoldier,,,
tshirt,,,
tv,,,
unicycle,,,
walkietalkie,,,
washingmachine,,,
waterbottle,,,
waterfountain,,,
wateringcan,,,
windshieldwiper,,,
witchhat,,,
yoyo,,,