"source","agreement","stimuli","n","percent","lemma_naming","lemma_dis","dist","match"
"boss",94,"arrival_1",8,25.8064516129032,"broom","room",0.0666666666666668,NA
"boss",94,"arrival_4",8,25.8064516129032,"broom","room",0.0666666666666668,NA
"boss",94,"arrival_6",14,45.1612903225806,"broom","room",0.0666666666666668,NA
"boss",94,"dinosaurs_spacemen_and_ghouls",18,58.0645161290323,"broom","room",0.0666666666666668,NA
"boss",94,"exhibit_12",8,25.8064516129032,"broom","room",0.0666666666666668,NA
"boss",94,"flowerman",12,38.7096774193548,"broom","room",0.0666666666666668,NA
"boss",94,"journey",27,87.0967741935484,"broom","room",0.0666666666666668,NA
"boss",94,"return",27,87.0967741935484,"broom","room",0.0666666666666668,NA
"boss",71,"wanderer",24,77.4193548387097,"cane","crane",0.0666666666666668,NA
"boss",92,"journey",10,32.258064516129,"clock","lock",0.0666666666666668,NA
"boss",77,"being_a_pirate",12,38.7096774193548,"shoe","shore",0.0666666666666668,NA
"boss",77,"wanderer",9,29.0322580645161,"shoe","shore",0.0666666666666668,NA
"boss",78,"arrival_3",16,51.6129032258064,"nail","snail",0.0666666666666668,NA
"boss",100,"ancient_rome",8,25.8064516129032,"pear","spear",0.0666666666666668,NA
"boss",100,"journey",8,25.8064516129032,"pear","spear",0.0666666666666668,NA
"boss",100,"quest",17,54.8387096774194,"pear","spear",0.0666666666666668,NA
"boss",100,"wanderer",10,32.258064516129,"pear","pearl",0.0666666666666668,NA
"boss",84,"flowerman",23,74.1935483870968,"scale","sale",0.0666666666666668,NA
"boss",100,"dinosaurs_spacemen_and_ghouls",8,25.8064516129032,"screw","crew",0.0666666666666668,NA
"brodeur",88,"flowerman",21,67.741935483871,"chair","hair",0.0666666666666668,NA
"brodeur",88,"picture_this",8,25.8064516129032,"chair","hair",0.0666666666666668,NA
"brodeur",100,"airport",12,38.7096774193548,"horse","hose",0.0666666666666668,NA
"brodeur",98,"by_the_lake",10,32.258064516129,"kite","kites",0.0666666666666668,1
"brodeur",88,"ancient_rome",27,87.0967741935484,"lion","lions",0.0666666666666668,1
"brodeur",88,"escape_from_the_zoo",14,45.1612903225806,"lion","lions",0.0666666666666668,1
"brodeur",98,"airport",11,35.4838709677419,"swing","wing",0.0666666666666668,NA
"brodeur",98,"arrival_6",9,29.0322580645161,"swing","wing",0.0666666666666668,NA
"brodeur",98,"quest",18,58.0645161290323,"swing","wing",0.0666666666666668,NA
"brodeur",98,"return",20,64.5161290322581,"swing","wing",0.0666666666666668,NA
"brodeur",98,"wanderer",17,54.8387096774194,"swing","wing",0.0666666666666668,NA
"moreno-martinez",86,"arrival_6",8,25.8064516129032,"brain","rain",0.0666666666666668,NA
"moreno-martinez",86,"quest",19,61.2903225806452,"brain","rain",0.0666666666666668,NA
"moreno-martinez",72,"airport",11,35.4838709677419,"chard","card",0.0666666666666668,NA
"moreno-martinez",93,"airport",12,38.7096774193548,"house","hose",0.0666666666666668,NA
"moreno-martinez",97,"wanderer",8,25.8064516129032,"sword","word",0.0666666666666668,NA
"moreno-martinez",93,"arrival_6",8,25.8064516129032,"train","rain",0.0666666666666668,NA
"moreno-martinez",93,"quest",19,61.2903225806452,"train","rain",0.0666666666666668,NA
"DR2",100,"quest",9,29.0322580645161,"bear","beard",0.0666666666666668,NA
"DR2",100,"return",10,32.258064516129,"bear","beard",0.0666666666666668,NA
"DR2",100,"journey",10,32.258064516129,"block","lock",0.0666666666666668,NA
"DR2",100,"arrival_1",26,83.8709677419355,"lock","clock",0.0666666666666668,NA
"DR2",100,"arrival_3",17,54.8387096774194,"lock","clock",0.0666666666666668,NA
"DR2",100,"flowerman",12,38.7096774193548,"lock","clock",0.0666666666666668,NA
"DR2",100,"arrival_5",11,35.4838709677419,"medal","meal",0.0666666666666668,NA
"DR2",95.5,"ancient_rome",12,38.7096774193548,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_1",15,48.3870967741936,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_2",9,29.0322580645161,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_3",9,29.0322580645161,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_4",16,51.6129032258064,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_5",14,45.1612903225806,"slide","side",0.0666666666666668,NA
"DR2",95.5,"arrival_6",19,61.2903225806452,"slide","side",0.0666666666666668,NA
"DR2",95.5,"being_a_pirate",15,48.3870967741936,"slide","side",0.0666666666666668,NA
"DR2",95.5,"birthday_party_fun",13,41.9354838709677,"slide","side",0.0666666666666668,NA
"DR2",95.5,"by_the_lake",15,48.3870967741936,"slide","side",0.0666666666666668,NA
"DR2",95.5,"campsite",23,74.1935483870968,"slide","side",0.0666666666666668,NA
"DR2",95.5,"dinosaurs_spacemen_and_ghouls",20,64.5161290322581,"slide","side",0.0666666666666668,NA
"DR2",95.5,"escape_from_the_zoo",11,35.4838709677419,"slide","side",0.0666666666666668,NA
"DR2",95.5,"exhibit_12",10,32.258064516129,"slide","side",0.0666666666666668,NA
"DR2",95.5,"flowerman",19,61.2903225806452,"slide","side",0.0666666666666668,NA
"DR2",95.5,"journey",24,77.4193548387097,"slide","side",0.0666666666666668,NA
"DR2",95.5,"make_a_splash",19,61.2903225806452,"slide","side",0.0666666666666668,NA
"DR2",95.5,"picture_this",14,45.1612903225806,"slide","side",0.0666666666666668,NA
"DR2",95.5,"quest",23,74.1935483870968,"slide","side",0.0666666666666668,NA
"DR2",95.5,"return",17,54.8387096774194,"slide","side",0.0666666666666668,NA
"DR2",95.5,"unfriendly_giants",11,35.4838709677419,"slide","side",0.0666666666666668,NA
"DR2",95.5,"waldo_1",15,48.3870967741936,"slide","side",0.0666666666666668,NA
"DR2",95.5,"wanderer",24,77.4193548387097,"slide","side",0.0666666666666668,NA
"DR2",95.5,"wild_west",14,45.1612903225806,"slide","side",0.0666666666666668,NA
"boss",82,"arrival_4",9,29.0322580645161,"tshirt","shirt",0.0555555555555556,1
"boss",82,"arrival_5",17,54.8387096774194,"tshirt","shirt",0.0555555555555556,1
"boss",82,"flowerman",14,45.1612903225806,"tshirt","shirt",0.0555555555555556,1
"boss",82,"journey",8,25.8064516129032,"tshirt","shirt",0.0555555555555556,1
"boss",82,"picture_this",9,29.0322580645161,"tshirt","shirt",0.0555555555555556,1
"boss",82,"return",8,25.8064516129032,"tshirt","shirt",0.0555555555555556,1
"boss",82,"wanderer",15,48.3870967741936,"tshirt","shirt",0.0555555555555556,1
"brodeur",95,"journey",12,38.7096774193548,"cloud","clouds",0.0555555555555556,1
"brodeur",73,"arrival_4",23,74.1935483870968,"monkey","money",0.0555555555555556,NA
"brodeur",73,"arrival_5",9,29.0322580645161,"monkey","money",0.0555555555555556,NA
"brodeur",73,"arrival_6",24,77.4193548387097,"monkey","money",0.0555555555555556,NA
"brodeur",73,"wild_west",9,29.0322580645161,"monkey","money",0.0555555555555556,NA
"brodeur",81,"wild_west",13,41.9354838709677,"table","stable",0.0555555555555556,NA
"moreno-martinez",78,"journey",12,38.7096774193548,"tower","towers",0.0555555555555556,1
"moreno-martinez",78,"quest",9,29.0322580645161,"tower","towers",0.0555555555555556,1
"moreno-martinez",78,"return",9,29.0322580645161,"tower","towers",0.0555555555555556,1
"moreno-martinez",99,"escape_from_the_zoo",18,58.0645161290323,"zebra","zebras",0.0555555555555556,1
"DR2",73.8095238,"flowerman",13,41.9354838709677,"bricks","brick",0.0555555555555556,1
"DR2",73.8095238,"wanderer",9,29.0322580645161,"bricks","brick",0.0555555555555556,1
"DR2",92.9,"arrival_4",14,45.1612903225806,"bride","bridge",0.0555555555555556,NA
"DR2",92.9,"campsite",21,67.741935483871,"bride","bridge",0.0555555555555556,NA
"DR2",92.9,"flowerman",25,80.6451612903226,"bride","bridge",0.0555555555555556,NA
"DR2",92.9,"journey",18,58.0645161290323,"bride","bridge",0.0555555555555556,NA
"DR2",92.9,"make_a_splash",13,41.9354838709677,"bride","bridge",0.0555555555555556,NA
"DR2",92.9,"quest",29,93.5483870967742,"bride","bridge",0.0555555555555556,NA
"DR2",92.9,"return",19,61.2903225806452,"bride","bridge",0.0555555555555556,NA
"DR2",92.9,"wanderer",19,61.2903225806452,"bride","bridge",0.0555555555555556,NA
"DR2",72.7,"journey",18,58.0645161290323,"paper","papers",0.0555555555555556,1
"DR2",99.9,"airport",9,29.0322580645161,"stairs","stair",0.0555555555555556,1
"DR2",99.9,"arrival_4",8,25.8064516129032,"stairs","stair",0.0555555555555556,1
"DR2",99.9,"arrival_5",12,38.7096774193548,"stairs","stair",0.0555555555555556,1
"DR2",99.9,"arrival_6",16,51.6129032258064,"stairs","stair",0.0555555555555556,1
"DR2",99.9,"exhibit_12",15,48.3870967741936,"stairs","stair",0.0555555555555556,1
"DR2",99.9,"return",19,61.2903225806452,"stairs","stair",0.0555555555555556,1
"DR2",99.9,"wanderer",16,51.6129032258064,"stairs","stair",0.0555555555555556,1
"DR2",97.1428571,"airport",13,41.9354838709677,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"arrival_2",14,45.1612903225806,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"arrival_4",9,29.0322580645161,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"arrival_5",18,58.0645161290323,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"being_a_pirate",25,80.6451612903226,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"birthday_party_fun",20,64.5161290322581,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"by_the_lake",27,87.0967741935484,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"campsite",16,51.6129032258064,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"deep_sea_divers",28,90.3225806451613,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"escape_from_the_zoo",15,48.3870967741936,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"flowerman",21,67.741935483871,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"journey",26,83.8709677419355,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"make_a_splash",28,90.3225806451613,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"picture_this",12,38.7096774193548,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"quest",29,93.5483870967742,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"return",26,83.8709677419355,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"unfriendly_giants",21,67.741935483871,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"waldo_1",13,41.9354838709677,"waiter","water",0.0555555555555556,NA
"DR2",97.1428571,"wanderer",28,90.3225806451613,"waiter","water",0.0555555555555556,NA
"boss",100,"arrival_1",16,51.6129032258064,"feather","father",0.0476190476190477,NA
"boss",100,"arrival_4",17,54.8387096774194,"feather","father",0.0476190476190477,NA
"boss",100,"arrival_5",9,29.0322580645161,"feather","father",0.0476190476190477,NA
"boss",100,"arrival_6",12,38.7096774193548,"feather","father",0.0476190476190477,NA
"boss",100,"journey",12,38.7096774193548,"feather","father",0.0476190476190477,NA
"boss",100,"return",13,41.9354838709677,"feather","father",0.0476190476190477,NA
"DR2",93.3333333,"wanderer",8,25.8064516129032,"stoplight","spotlight",0.0370370370370371,NA
"DR2",100,"escape_from_the_zoo",25,80.6451612903226,"rhinoceros","rhinocero",0.0333333333333334,1
"DR2",100,"quest",26,83.8709677419355,"rhinoceros","rhinocero",0.0333333333333334,1
"DR2",90,"escape_from_the_zoo",13,40.625,"icecreamcone","icecream cone",0.0256410256410255,1
"DR2",90,"dinosaurs_spacemen_and_ghouls",8,25,"icecreamcone","icecream cone",0.0256410256410255,1
"boss",87,"airport",24,77.4193548387097,"balloon","balloon",0,NA
"boss",87,"arrival_6",16,51.6129032258064,"balloon","balloon",0,NA
"boss",87,"birthday_party_fun",17,54.8387096774194,"balloon","balloon",0,NA
"boss",87,"journey",28,90.3225806451613,"balloon","balloon",0,NA
"boss",87,"quest",11,35.4838709677419,"balloon","balloon",0,NA
"boss",87,"return",13,41.9354838709677,"balloon","balloon",0,NA
"boss",95,"arrival_1",10,32.258064516129,"belt","belt",0,NA
"boss",95,"quest",16,51.6129032258064,"belt","belt",0,NA
"boss",95,"unfriendly_giants",18,58.0645161290323,"belt","belt",0,NA
"boss",90,"arrival_2",19,61.2903225806452,"book","book",0,NA
"boss",90,"arrival_3",26,83.8709677419355,"book","book",0,NA
"boss",90,"arrival_4",29,93.5483870967742,"book","book",0,NA
"boss",90,"journey",13,41.9354838709677,"book","book",0,NA
"boss",90,"picture_this",8,25.8064516129032,"book","book",0,NA
"boss",82,"arrival_1",22,70.9677419354839,"boot","boot",0,NA
"boss",82,"arrival_6",24,77.4193548387097,"boot","boot",0,NA
"boss",85,"arrival_1",19,61.2903225806452,"bowl","bowl",0,NA
"boss",85,"arrival_2",8,25.8064516129032,"bowl","bowl",0,NA
"boss",85,"arrival_4",13,41.9354838709677,"bowl","bowl",0,NA
"boss",85,"arrival_5",21,67.741935483871,"bowl","bowl",0,NA
"boss",85,"arrival_6",20,64.5161290322581,"bowl","bowl",0,NA
"boss",100,"flowerman",13,41.9354838709677,"brick","brick",0,NA
"boss",100,"wanderer",9,29.0322580645161,"brick","brick",0,NA
"boss",82,"dinosaurs_spacemen_and_ghouls",16,51.6129032258064,"camera","camera",0,NA
"boss",92,"arrival_1",26,83.8709677419355,"clock","clock",0,NA
"boss",92,"arrival_3",17,54.8387096774194,"clock","clock",0,NA
"boss",92,"flowerman",12,38.7096774193548,"clock","clock",0,NA
"boss",82,"journey",14,45.1612903225806,"crayon","crayon",0,NA
"boss",82,"quest",17,54.8387096774194,"crayon","crayon",0,NA
"boss",82,"return",19,61.2903225806452,"crayon","crayon",0,NA
"boss",100,"arrival_6",27,87.0967741935484,"envelope","envelope",0,NA
"boss",100,"return",20,64.5161290322581,"feather","feather",0,NA
"boss",100,"unfriendly_giants",13,41.9354838709677,"hammer","hammer",0,NA
"boss",97,"arrival_4",9,29.0322580645161,"key","key",0,NA
"boss",97,"quest",28,90.3225806451613,"key","key",0,NA
"boss",87,"ancient_rome",10,32.258064516129,"knife","knife",0,NA
"boss",92,"arrival_6",14,45.1612903225806,"lamp","lamp",0,NA
"boss",92,"flowerman",8,25.8064516129032,"lamp","lamp",0,NA
"boss",92,"journey",13,41.9354838709677,"lamp","lamp",0,NA
"boss",92,"return",10,32.258064516129,"lamp","lamp",0,NA
"boss",92,"wanderer",8,25.8064516129032,"lamp","lamp",0,NA
"boss",97,"arrival_6",23,74.1935483870968,"leaf","leaf",0,NA
"boss",74,"exhibit_12",18,58.0645161290323,"level","level",0,NA
"boss",74,"journey",15,48.3870967741936,"level","level",0,NA
"boss",77,"arrival_4",18,58.0645161290323,"shoe","shoe",0,NA
"boss",77,"arrival_6",9,29.0322580645161,"shoe","shoe",0,NA
"boss",77,"waldo_1",9,29.0322580645161,"shoe","shoe",0,NA
"boss",82,"journey",13,41.9354838709677,"marker","marker",0,NA
"boss",82,"return",10,32.258064516129,"marker","marker",0,NA
"boss",100,"make_a_splash",9,29.0322580645161,"mushroom","mushroom",0,NA
"boss",100,"quest",13,41.9354838709677,"orange","orange",0,NA
"boss",90,"arrival_6",15,48.3870967741936,"pen","pen",0,NA
"boss",90,"journey",9,29.0322580645161,"pen","pen",0,NA
"boss",90,"return",9,29.0322580645161,"pen","pen",0,NA
"boss",84,"arrival_6",10,32.258064516129,"plant","plant",0,NA
"boss",84,"return",11,35.4838709677419,"plant","plant",0,NA
"boss",84,"waldo_1",19,61.2903225806452,"plant","plant",0,NA
"boss",84,"wanderer",18,58.0645161290323,"plant","plant",0,NA
"boss",92,"arrival_5",14,45.1612903225806,"plate","plate",0,NA
"boss",100,"ancient_rome",10,32.258064516129,"ring","ring",0,NA
"boss",100,"picture_this",9,29.0322580645161,"ring","ring",0,NA
"boss",86,"arrival_5",16,51.6129032258064,"rope","rope",0,NA
"boss",86,"being_a_pirate",8,25.8064516129032,"rope","rope",0,NA
"boss",86,"dinosaurs_spacemen_and_ghouls",9,29.0322580645161,"rope","rope",0,NA
"boss",86,"quest",22,70.9677419354839,"rope","rope",0,NA
"boss",86,"unfriendly_giants",19,61.2903225806452,"rope","rope",0,NA
"boss",86,"wanderer",12,38.7096774193548,"rope","rope",0,NA
"boss",95,"arrival_1",10,32.258064516129,"scarf","scarf",0,NA
"boss",95,"flowerman",9,29.0322580645161,"scarf","scarf",0,NA
"boss",100,"wanderer",9,29.0322580645161,"scissors","scissors",0,NA
"boss",92,"arrival_1",21,67.741935483871,"spoon","spoon",0,NA
"boss",83,"unfriendly_giants",21,67.741935483871,"straw","straw",0,NA
"boss",81,"arrival_3",18,58.0645161290323,"basket","basket",0,NA
"boss",81,"arrival_4",26,83.8709677419355,"basket","basket",0,NA
"boss",81,"arrival_5",22,70.9677419354839,"basket","basket",0,NA
"boss",81,"arrival_6",15,48.3870967741936,"basket","basket",0,NA
"boss",81,"journey",12,38.7096774193548,"basket","basket",0,NA
"boss",100,"arrival_4",9,29.0322580645161,"strawberry","strawberry",0,NA
"boss, DR2",100,"by_the_lake",11,35.4838709677419,"umbrella","umbrella",0,NA
"boss, DR2",100,"flowerman",10,32.258064516129,"umbrella","umbrella",0,NA
"boss, DR2",100,"picture_this",9,29.0322580645161,"umbrella","umbrella",0,NA
"boss, DR2",100,"wanderer",8,25.8064516129032,"umbrella","umbrella",0,NA
"boss",84,"arrival_4",9,29.0322580645161,"vase","vase",0,NA
"boss",84,"arrival_5",8,25.8064516129032,"vase","vase",0,NA
"boss",84,"arrival_6",8,25.8064516129032,"vase","vase",0,NA
"boss",97,"arrival_3",16,51.6129032258064,"violin","violin",0,NA
"boss",97,"waldo_1",8,25.8064516129032,"violin","violin",0,NA
"boss",82,"flowerman",18,58.0645161290323,"wheel","wheel",0,NA
"boss",82,"journey",20,64.5161290322581,"wheel","wheel",0,NA
"boss",82,"quest",15,48.3870967741936,"wheel","wheel",0,NA
"boss",82,"wanderer",12,38.7096774193548,"wheel","wheel",0,NA
"brodeur, moreno-martinez",97,"arrival_3",13,41.9354838709677,"accordion","accordion",0,NA
"brodeur, moreno-martinez",97,"arrival_5",18,58.0645161290323,"accordion","accordion",0,NA
"brodeur",71,"by_the_lake",11,35.4838709677419,"guitar","guitar",0,NA
"brodeur",71,"campsite",11,35.4838709677419,"guitar","guitar",0,NA
"brodeur",95,"airport",17,54.8387096774194,"elephant","elephant",0,NA
"brodeur",95,"birthday_party_fun",10,32.258064516129,"elephant","elephant",0,NA
"brodeur",95,"escape_from_the_zoo",22,70.9677419354839,"elephant","elephant",0,NA
"brodeur",95,"make_a_splash",20,64.5161290322581,"elephant","elephant",0,NA
"brodeur",95,"quest",8,25.8064516129032,"elephant","elephant",0,NA
"brodeur",95,"wanderer",21,67.741935483871,"elephant","elephant",0,NA
"brodeur",93,"flowerman",9,29.0322580645161,"anchor","anchor",0,NA
"brodeur",93,"wanderer",16,51.6129032258064,"anchor","anchor",0,NA
"brodeur",95,"arrival_5",8,25.8064516129032,"apron","apron",0,NA
"brodeur",95,"arrival_5",18,58.0645161290323,"banjo","banjo",0,NA
"brodeur",81,"arrival_1",11,35.4838709677419,"bed","bed",0,NA
"brodeur",81,"arrival_3",22,70.9677419354839,"bed","bed",0,NA
"brodeur",81,"arrival_5",14,45.1612903225806,"bed","bed",0,NA
"brodeur",81,"arrival_6",22,70.9677419354839,"bed","bed",0,NA
"brodeur",81,"journey",21,67.741935483871,"bed","bed",0,NA
"brodeur",81,"return",14,45.1612903225806,"bed","bed",0,NA
"brodeur",76,"arrival_4",15,48.3870967741936,"bench","bench",0,NA
"brodeur",76,"quest",20,64.5161290322581,"bench","bench",0,NA
"brodeur",90,"arrival_4",14,45.1612903225806,"bridge","bridge",0,NA
"brodeur",90,"campsite",21,67.741935483871,"bridge","bridge",0,NA
"brodeur",90,"flowerman",25,80.6451612903226,"bridge","bridge",0,NA
"brodeur",90,"journey",18,58.0645161290323,"bridge","bridge",0,NA
"brodeur",90,"make_a_splash",13,41.9354838709677,"bridge","bridge",0,NA
"brodeur",90,"quest",29,93.5483870967742,"bridge","bridge",0,NA
"brodeur",90,"return",19,61.2903225806452,"bridge","bridge",0,NA
"brodeur",90,"wanderer",19,61.2903225806452,"bridge","bridge",0,NA
"brodeur",88,"campsite",24,77.4193548387097,"bull","bull",0,NA
"brodeur",93,"picture_this",14,45.1612903225806,"cactus","cactus",0,NA
"brodeur",88,"arrival_3",25,80.6451612903226,"cat","cat",0,NA
"brodeur",88,"arrival_4",24,77.4193548387097,"cat","cat",0,NA
