"participant","file","session","stimuli","occurrence","start","end","duration"
"Participant1","Participant1_Session3_Corrected .vtt","Session3","deep_sea_diver",1,2023-07-09 00:20:51.38,NA,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","deep_sea_divers",1,NA,2023-07-09 00:26:10.97,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","birthday_party_fun",1,NA,2023-07-09 00:37:09.79,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3",NA,1,NA,NA,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","arrival-6",1,NA,2023-07-09 00:56:12.918,NA
"Participant10","Participant10_Session2_Corrected.vtt","Session2","deep_sea_diver",1,2023-07-09 00:00:54.95,NA,NA
"Participant10","Participant10_Session2_Corrected.vtt","Session2","deep_sea_divers",1,NA,2023-07-09 00:05:50.99,NA
"Participant12","Participant12_Session2_Corrected.vtt","Session2","deep_sea_divers",1,NA,2023-07-09 00:22:38.99,NA
"Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival-4",1,2023-07-09 00:05:16.53,NA,NA
"Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival_1",1,NA,2023-07-09 00:05:22.957,NA
"Participant17","Participant17_Session2_Corrected .vtt","Session2","picture_this",1,NA,2023-07-09 00:02:53.512,NA
"Participant18","Participant18_Session1_Corrected.vtt","Session1","ancient_rome",1,NA,NA,NA
"Participant19","Participant19_Session1_Corrected .vtt","Session1",NA,1,NA,NA,NA
"Participant19","Participant19_Session1_Corrected .vtt","Session1","being_a_pirate",1,NA,2023-07-09 00:53:21.204,NA
"Participant20","Participant20_Session2_Corrected .vtt","Session2","deep_sea_diver",1,2023-07-09 00:52:34.71,NA,NA
"Participant20","Participant20_Session2_Corrected .vtt","Session2","deep_sea_divers",1,NA,2023-07-09 00:57:10.76,NA
"Participant20","Participant20_Session2_Corrected .vtt","Session2","by_the_lake",1,2023-07-09 00:57:30.61,NA,NA
"Participant21","Participant21_Session1_Corrected.vtt","Session1","unfriendly_giant",1,2023-07-09 00:00:50.8,NA,NA
"Participant21","Participant21_Session1_Corrected.vtt","Session1","unfriendly_giants",1,NA,2023-07-09 00:04:54.303,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","Arrival_4",1,2023-07-09 00:00:33.63,NA,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","arrival_4",1,NA,2023-07-09 00:15:19.1,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","ARRIVAL_5",1,2023-07-09 00:21:08.48,NA,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","Arrival_5",1,NA,NA,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","Exhibit_12",1,2023-07-09 00:28:59.44,NA,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","exhibit_12",1,NA,2023-07-09 00:34:09.25,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","flowerman",1,2023-07-09 00:42:16.089,NA,NA
"Participant22","Participant22_Session2_Corrected.vtt","Session2","Flowerman",1,NA,2023-07-09 01:02:37.94,NA
"Participant22","Participant22_Session3_Corrected.vtt","Session3","Quest",1,2023-07-09 00:40:12.23,NA,NA
"Participant22","Participant22_Session3_Corrected.vtt","Session3","quest",1,NA,2023-07-09 00:50:56.35,NA
"Participant22","Participant22_Session3_Corrected.vtt","Session3","Waldo_1",1,2023-07-09 00:51:20.8,NA,NA
"Participant22","Participant22_Session3_Corrected.vtt","Session3","waldo_1",1,NA,2023-07-09 00:51:24.841,NA
"Participant27","Participant27_Session1_Corrected.vtt","Session1","arrival_3",1,2023-07-09 00:56:26.56,NA,NA
"Participant27","Participant27_Session1_Corrected.vtt","Session1",NA,1,NA,NA,NA
"Participant27","Participant27_Session2_Corrected.vtt","Session2","arrival_4",1,NA,NA,NA
"Participant28","Participant28_Session1_Corrected.vtt","Session1","journey",1,NA,NA,NA
"Participant29","Participant29_Session1_Corrected.vtt","Session1","arival-5",1,2023-07-09 00:56:14.46,NA,NA
"Participant29","Participant29_Session1_Corrected.vtt","Session1","arrival-5",1,NA,2023-07-09 01:01:52.626,NA
"Participant32","Participant32_Session1_Corrected.vtt","Session1","arrival_6I'm",1,2023-07-09 00:10:14.76,NA,NA
"Participant32","Participant32_Session1_Corrected.vtt","Session1","arrival_6",1,NA,2023-07-09 00:24:26.26,NA
"Participant32","Participant32_Session1_Corrected.vtt","Session1","arrival_5",1,2023-07-09 00:25:15.86,NA,NA
"Participant32","Participant32_Session1_Corrected.vtt","Session1","arrival_4",2,NA,2023-07-09 00:41:19.408,NA
"Participant32","Participant32_Session2_Corrected.vtt","Session2","flowerman",1,NA,2023-07-09 01:03:03.95,NA
"Participant32","Participant32_Session3_Corrected.vtt","Session3","Journey",1,2023-07-09 02:00:31.05,NA,NA
"Participant32","Participant32_Session3_Corrected.vtt","Session3","journey",1,NA,2023-07-09 02:26:06.09,NA
"Participant33","Participant33_Session1_Corrected.vtt","Session1","by_the_lake",1,2023-07-09 00:01:15.85,NA,NA
"Participant33","Participant33_Session1_Corrected.vtt","Session1","floweman",1,2023-07-09 00:33:27.65,NA,NA
"Participant33","Participant33_Session1_Corrected.vtt","Session1","flowerman",1,NA,2023-07-09 00:49:04.231,NA
"Participant34","Participant34_Session2_Corrected.vtt","Session2","escape_from_the_zo",1,NA,NA,NA
"Participant34","Participant34_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,NA,2023-07-09 00:03:35.765,NA
"Participant34","Participant34_Session2_Corrected.vtt","Session2","birthdayParty_funOK,",1,2023-07-09 01:20:18.83,NA,NA
"Participant34","Participant34_Session2_Corrected.vtt","Session2","birthday_party_fun",1,NA,2023-07-09 01:22:08.343,NA
"Participant5","Participant5_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,2023-07-09 01:29:22.2,NA,NA
"Participant5","Participant5_Session2_Corrected.vtt","Session2","escape_from_the_zoom",1,NA,2023-07-09 01:31:59.897,NA
"Participant5","Participant5_Session3_Corrected .vtt","Session3","male_a_splash",1,2023-07-09 00:43:17.15,NA,NA
"Participant5","Participant5_Session3_Corrected .vtt","Session3","make_a_splash",1,NA,2023-07-09 00:46:43.666,NA
"Participant5","Participant5_Session3_Corrected .vtt","Session3",NA,1,NA,NA,NA
"Participant5","Participant5_Session3_Corrected .vtt","Session3","wanderer",1,NA,2023-07-09 01:30:40.068,NA
"Participant6","Participant6_Session2_Corrected.vtt","Session2","arrival_1",1,2023-07-09 00:55:31.92,NA,NA
"Participant6","Participant6_Session2_Corrected.vtt","Session2","dinasours_spacemen_and_ghouls",1,NA,2023-07-09 01:11:45.77,NA
"Participant8","Participant8_Session2_Corrected.vtt","Session2",NA,1,NA,NA,NA
"Participant8","Participant8_Session2_Corrected.vtt","Session2","journey",1,NA,2023-07-09 00:58:45.72,NA
"Participant9","Participant9_Session1_Corrected.vtt","Session1","birthday_party_fum",1,2023-07-09 00:30:39.36,NA,NA
"Participant9","Participant9_Session1_Corrected.vtt","Session1","birthday_party_fun",1,NA,2023-07-09 00:30:42.09,NA
"Participant9","Participant9_Session1_Corrected.vtt","Session1","picture_this",1,2023-07-09 00:34:40.14,NA,NA
"Participant9","Participant9_Session1_Corrected.vtt","Session1","picture_pictures",1,NA,2023-07-09 00:34:43.12,NA
