"","lemma","source","agreement","target"
"1","ace",NA,NA,NA
"2","air",NA,NA,NA
"3","airplane","DR2",95.4545455,"airplane_01_og.jpg"
"4","airport",NA,NA,NA
"5","area",NA,NA,NA
"6","attendant",NA,NA,NA
"7","background",NA,NA,NA
"8","baggage",NA,NA,NA
"9","balloon","boss",87,"balloon01b.jpg"
"10","biplane",NA,NA,NA
"11","blimp","DR2",91.3,"blimp_01_og.jpg"
"12","bottom",NA,NA,NA
"13","building",NA,NA,NA
"14","bus","moreno-martinez",76,"bus.jpg"
"15","card",NA,NA,NA
"16","cart","moreno-martinez",75,"cart.jpg"
"17","coat","moreno-martinez",96,"coat.jpg"
"18","control",NA,NA,NA
"19","couple",NA,NA,NA
"20","elephant","brodeur",95,"africanelephant.jpg"
"21","fire",NA,NA,NA
"22","flag","brodeur",71,"flag.jpg"
"23","flight",NA,NA,NA
"24","ground",NA,NA,NA
"25","guy",NA,NA,NA
"26","helicopter","brodeur",90,"helicopter.jpg"
"27","hose",NA,NA,NA
"28","jet",NA,NA,NA
"29","kind",NA,NA,NA
"30","line",NA,NA,NA
"31","lot",NA,NA,NA
"32","luggage",NA,NA,NA
"33","man",NA,NA,NA
"34","one",NA,NA,NA
"35","people",NA,NA,NA
"36","plane",NA,NA,NA
"37","rocket","DR2",86.3636364,"rocket_01_og.jpg"
"38","scene",NA,NA,NA
"39","sky",NA,NA,NA
"40","smoke",NA,NA,NA
"41","spade",NA,NA,NA
"42","tarmac",NA,NA,NA
"43","thing",NA,NA,NA
"44","top",NA,NA,NA
"45","tower","moreno-martinez",78,"tower.jpg"
"46","truck","DR2",95.4545455,"truck_01_og.jpg"
"47","um",NA,NA,NA
"48","watch","DR2",95.4545455,"watch_01_og.jpg"
"49","water",NA,NA,NA
"50","wing",NA,NA,NA
"51","worker",NA,NA,NA
"52","animal",NA,NA,NA
"53","arena",NA,NA,NA
"54","bunch",NA,NA,NA
"55","chariot",NA,NA,NA
"56","colosseum",NA,NA,NA
"57","fight",NA,NA,NA
"58","game",NA,NA,NA
"59","gladiator",NA,NA,NA
"60","hand","brodeur",81,"?"
"61","horse","brodeur",100,"horse.jpg"
"62","knife","boss",87,"?"
"63","leopard",NA,NA,NA
"64","lion","brodeur",88,"lion.jpg"
"65","lions",NA,NA,NA
"66","person",NA,NA,NA
"67","place",NA,NA,NA
"68","pyramid","moreno-martinez",84,"pyramid.jpg"
"69","rome",NA,NA,NA
"70","shield","moreno-martinez",96,"shield.jpg"
"71","side",NA,NA,NA
"72","stand",NA,NA,NA
"73","sword","moreno-martinez",97,"sword.jpg"
"74","tiger","moreno-martinez",99,"tiger.jpg"
"75","wall",NA,NA,NA
"76","bed","brodeur",81,"bed.jpg"
"77","belt","boss",95,"belt02a.jpg"
"78","bird","DR2",100,"bird_01_og.jpg"
"79","boot","boss",82,"boot02b.jpg"
"80","bow","moreno-martinez",99,"bow.jpg"
"81","bowl","boss",85,"bowl01.jpg"
"82","breakfast",NA,NA,NA
"83","child",NA,NA,NA
"84","clock","boss",92,"clock04.jpg"
"85","cloth",NA,NA,NA
"86","coffee",NA,NA,NA
"87","cup","moreno-martinez",82,"cup.jpg"
"88","dad",NA,NA,NA
"89","daughter",NA,NA,NA
"90","distance",NA,NA,NA
"91","dragon",NA,NA,NA
"92","drawing",NA,NA,NA
"93","ear","moreno-martinez",99,"ear.jpg"
"94","eye","brodeur",76,"eye.jpg"
"95","family",NA,NA,NA
"96","father",NA,NA,NA
"97","girl",NA,NA,NA
"98","goodbye",NA,NA,NA
"99","hat","DR2",100,"hat_01_og.jpg"
"100","head",NA,NA,NA
"101","hold",NA,NA,NA
"102","hook",NA,NA,NA
"103","hug",NA,NA,NA
"104","item",NA,NA,NA
"105","kitchen",NA,NA,NA
"106","left",NA,NA,NA
"107","mom",NA,NA,NA
"108","mother",NA,NA,NA
"109","origami",NA,NA,NA
"110","paper","DR2",72.7,"paper_02_og.jpg"
"111","photo",NA,NA,NA
"112","picture",NA,NA,NA
"113","pot","DR2",100,"pot_01_og.jpg"
"114","scarf","boss",95,"scarf.jpg"
"115","shadow",NA,NA,NA
"116","ship","moreno-martinez",74,"ship.jpg"
"117","shoulder",NA,NA,NA
"118","soup",NA,NA,NA
"119","spoon","boss",92,"spoon01.jpg"
"120","station",NA,NA,NA
"121","steam",NA,NA,NA
"122","street",NA,NA,NA
"123","string",NA,NA,NA
"124","suitcase","DR2",97.0588235,"suitcase_01_og.jpg"
"125","table","brodeur",81,"table01.jpg"
"126","tail",NA,NA,NA
"127","tea",NA,NA,NA
"128","teapot","DR2",93.3,"teapot_01_og.jpg"
"129","train","moreno-martinez",93,"train.jpg"
"130","trunk",NA,NA,NA
"131","wife",NA,NA,NA
"132","woman",NA,NA,NA
"133","arm","moreno-martinez",96,"arm.jpg"
"134","baby",NA,NA,NA
"135","boat","moreno-martinez",86,"boat.jpg"
"136","book","boss",90,"book01b.jpg"
"137","city","DR2",74.1,"city_01_og.jpg"
"138","creature",NA,NA,NA
"139","deck",NA,NA,NA
"140","gate","brodeur",71,"entrancegate.jpg"
"141","harbor",NA,NA,NA
"142","megaphone",NA,NA,NA
"143","page",NA,NA,NA
"144","statue","DR2",93.3,"statue_02_og.jpg"
"145","accordion","brodeur, moreno-martinez",97,"accordion.jpg"
"146","arrow","moreno-martinez",94,"arrow.jpg"
"147","barber",NA,NA,NA
"148","basket","boss",81,"strawbasket01.jpg"
"149","boy",NA,NA,NA
"150","cat","brodeur",88,"cat.jpg"
"151","direction",NA,NA,NA
"152","egg","DR2",100,"egg_01_og.jpg"
"153","front",NA,NA,NA
"154","instrument",NA,NA,NA
"155","language",NA,NA,NA
"156","light",NA,NA,NA
"157","map",NA,NA,NA
"158","music",NA,NA,NA
"159","musician",NA,NA,NA
"160","newspaper",NA,NA,NA
"161","rabbit","brodeur",88,"jackrabbit.jpg"
"162","sign",NA,NA,NA
"163","snail",NA,NA,NA
"164","time",NA,NA,NA
"165","type",NA,NA,NA
"166","violin","boss",97,"violin.jpg"
"167","way",NA,NA,NA
"168","wind",NA,NA,NA
"169","window","brodeur",82,"dormer.jpg"
"170","bag",NA,NA,NA
"171","bench","brodeur",76,"bench01.jpg"
"172","billboard",NA,NA,NA
"173","bite",NA,NA,NA
"174","box","DR2",95.4545455,"box_02_og.jpg"
"175","bread",NA,NA,NA
"176","bridge","brodeur",90,"bridge.jpg"
"177","car","moreno-martinez",93,"car.jpg"
"178","chimney","brodeur",86,"chimney.jpg"
"179","coal",NA,NA,NA
"180","conductor",NA,NA,NA
"181","cone",NA,NA,NA
"182","conversation",NA,NA,NA
"183","door",NA,NA,NA
"184","drawer","DR2",82.1,"drawer_02_og.jpg"
"185","face",NA,NA,NA
"186","fish","brodeur",90,"rockbass.jpg"
"187","food",NA,NA,NA
"188","foot",NA,NA,NA
"189","friend",NA,NA,NA
"190","fruit",NA,NA,NA
"191","furnace",NA,NA,NA
"192","glass",NA,NA,NA
"193","horn",NA,NA,NA
"194","house","moreno-martinez",93,"house.jpg"
"195","ladder","DR2",100,"ladder_02_og.jpg"
"196","lever",NA,NA,NA
"197","loaf",NA,NA,NA
"198","look",NA,NA,NA
"199","machine",NA,NA,NA
"200","money",NA,NA,NA
"201","mouth","moreno-martinez",76,"mouth.jpg"
"202","number",NA,NA,NA
"203","pet",NA,NA,NA
"204","phone",NA,NA,NA
"205","piece",NA,NA,NA
"206","pocket",NA,NA,NA
"207","point",NA,NA,NA
"208","question",NA,NA,NA
"209","shoe","boss",77,"manshoe.jpg"
"210","shovel","moreno-martinez",96,"showel.jpg"
"211","shower","DR2",96.7741935,"shower_01_og.jpg"
"212","shrimp","brodeur",82,"shrimp.jpg"
"213","smokestack",NA,NA,NA
"214","snake","moreno-martinez",92,"snake.jpg"
"215","sort",NA,NA,NA
"216","story",NA,NA,NA
"217","structure",NA,NA,NA
"218","teepee","DR2",100,"teepee_01_og.jpg"
"219","telephone",NA,NA,NA
"220","tentacle",NA,NA,NA
"221","ticket",NA,NA,NA
"222","town",NA,NA,NA
"223","uh",NA,NA,NA
"224","umm",NA,NA,NA
"225","vegetable",NA,NA,NA
"226","vest",NA,NA,NA
"227","work",NA,NA,NA
"228","banjo","brodeur",95,"banjo.jpg"
"229","chef",NA,NA,NA
"230","counter",NA,NA,NA
"231","cupboard",NA,NA,NA
"232","dinner",NA,NA,NA
"233","drink",NA,NA,NA
"234","flute",NA,NA,NA
"235","jacket","DR2",72.7272727,"jacket_02_og.jpg"
"236","meal",NA,NA,NA
"237","owl","brodeur",100,"greathornowl.jpg"
"238","plate","boss",92,"plate01b.jpg"
"239","rope","boss",86,"rope03.jpg"
"240","shape",NA,NA,NA
"241","shirt","moreno-martinez",99,"shirt.jpg"
"242","shop",NA,NA,NA
"243","stair",NA,NA,NA
"244","suit",NA,NA,NA
"245","wine","DR2",70.7,"wine_01_og.jpg"
"246","center",NA,NA,NA
"247","coin",NA,NA,NA
"248","dandelion",NA,NA,NA
"249","desk",NA,NA,NA
"250","dish",NA,NA,NA
"251","edge",NA,NA,NA
"252","end",NA,NA,NA
"253","envelope","boss",100,"envelope03a.jpg"
"254","finger","moreno-martinez",90,"finger.jpg"
"255","floor","DR2",100,"floor_02_og.jpg"
"256","flower","brodeur, brodeur",89,"hibiscusflower02.jpg"
"257","flower","brodeur, brodeur",89,"lily.jpg"
"258","frame",NA,NA,NA
"259","hole",NA,NA,NA
"260","insect",NA,NA,NA
"261","lamp","boss",92,"lamp04a.jpg"
"262","leaf","boss",97,"leaf02a.jpg"
"263","leave",NA,NA,NA
"264","letter",NA,NA,NA
"265","mailbox","brodeur, DR2",100,"mailbox02.jpg"
"266","mailbox","brodeur, DR2",100,"mailbox_01_og.jpg"
"267","mirror","DR2",100,"mirror_02_og.jpg"
"268","mouse","DR2",100,"mouse_01_og.jpg"
"269","part",NA,NA,NA
"270","pen","boss",90,"pen04b.jpg"
"271","petal",NA,NA,NA
"272","plant","boss",84,"plant01.jpg"
"273","room",NA,NA,NA
"274","seed",NA,NA,NA
"275","snow",NA,NA,NA
"276","split",NA,NA,NA
"277","stamp",NA,NA,NA
"278","stem",NA,NA,NA
"279","step",NA,NA,NA
"280","tree","brodeur",95,"tree.jpg"
"281","vase","boss",84,"vase02.jpg"
"282","winter",NA,NA,NA
"283","write",NA,NA,NA
"284","beach",NA,NA,NA
"285","cannon","moreno-martinez",98,"cannon.jpg"
"286","crossbone",NA,NA,NA
"287","half",NA,NA,NA
"288","land",NA,NA,NA
"289","mast",NA,NA,NA
"290","octopus",NA,NA,NA
"291","palm",NA,NA,NA
"292","pirate",NA,NA,NA
"293","sail",NA,NA,NA
"294","sea","moreno-martinez",93,"sea.jpg"
"295","shore",NA,NA,NA
"296","skull",NA,NA,NA
"297","treasure",NA,NA,NA
"298","alligator",NA,NA,NA
"299","backyard",NA,NA,NA
"300","bat","moreno-martinez",96,"bat.jpg"
"301","birthday",NA,NA,NA
"302","bouncy",NA,NA,NA
"303","bunny",NA,NA,NA
"304","cake",NA,NA,NA
"305","castle","DR2",100,"castle_01_og.jpg"
"306","clown",NA,NA,NA
"307","costume",NA,NA,NA
"308","cupcake","brodeur",95,"cupcake.jpg"
"309","fence","DR2",100,"fence_02_og.jpg"
"310","fun",NA,NA,NA
"311","gift",NA,NA,NA
"312","gun","moreno-martinez",90,"gun.jpg"
"313","kid",NA,NA,NA
"314","lantern",NA,NA,NA
"315","mermaid",NA,NA,NA
"316","party",NA,NA,NA
"317","penguin","moreno-martinez",99,"penguin.jpg"
"318","pinata",NA,NA,NA
"319","pool","DR2",100,"pool_01_og.jpg"
"320","present",NA,NA,NA
"321","robot",NA,NA,NA
"322","sandwich",NA,NA,NA
"323","tug",NA,NA,NA
"324","viking",NA,NA,NA
"325","war",NA,NA,NA
"326","witch",NA,NA,NA
"327","ball","moreno-martinez",89,"ball.jpg"
"328","cabin",NA,NA,NA
"329","dock",NA,NA,NA
"330","dog",NA,NA,NA
"331","group",NA,NA,NA
"332","guitar","brodeur",71,"acousticguitar02.jpg"
"333","kayak",NA,NA,NA
"334","kite","brodeur",98,"kite.jpg"
"335","kites",NA,NA,NA
"336","lake",NA,NA,NA
"337","mountain","moreno-martinez",83,"mountain.jpg"
"338","net",NA,NA,NA
"339","paddle",NA,NA,NA
"340","raft",NA,NA,NA
"341","rock",NA,NA,NA
"342","sailboat","DR2",85.7,"sailboat_02_og.jpg"
"343","sand",NA,NA,NA
"344","sandcastle","brodeur",95,"sandcastle.jpg"
"345","tube",NA,NA,NA
"346","umbrella","boss, DR2",100,"umbrella04.jpg"
"347","umbrella","boss, DR2",100,"umbrella_01_og.jpg"
"348","volleyball","brodeur",76,"volleyball.jpg"
"349","backpack","DR2",95.1,"backpack_01_og.jpg"
"350","bike",NA,NA,NA
"351","bull","brodeur",88,"bull.jpg"
"352","campers",NA,NA,NA
"353","campground",NA,NA,NA
"354","canal",NA,NA,NA
"355","duck","moreno-martinez",93,"duck.jpg"
"356","field",NA,NA,NA
"357","hiker",NA,NA,NA
"358","river",NA,NA,NA
"359","rv",NA,NA,NA
"360","scout",NA,NA,NA
"361","shark","DR2",100,"shark_01_og.jpg"
"362","sidewalk",NA,NA,NA
"363","tent","brodeur",90,"tent.jpg"
"364","chest","DR2, DR2",85.7,"chest_02_og.JPG"
"365","chest","DR2, DR2",85.7,NA
"366","diver",NA,NA,NA
"367","fishing",NA,NA,NA
"368","nose","brodeur",88,"nose.jpg"
"369","ocean",NA,NA,NA
"370","school",NA,NA,NA
"371","stripe",NA,NA,NA
"372","swordfish","brodeur",83,"swordfish.jpg"
"373","actor",NA,NA,NA
"374","alien",NA,NA,NA
"375","astronaut",NA,NA,NA
"376","cafeteria",NA,NA,NA
"377","camera","boss",82,"camera01a.jpg"
"378","caveman",NA,NA,NA
"379","color",NA,NA,NA
"380","dinosaur",NA,NA,NA
"381","ghoul",NA,NA,NA
"382","ice",NA,NA,NA
"383","makeup",NA,NA,NA
"384","movie",NA,NA,NA
"385","mummy","brodeur",86,"mummy.jpg"
"386","pie","moreno-martinez",73,"pie.jpg"
"387","saucer",NA,NA,NA
"388","set",NA,NA,NA
"389","space",NA,NA,NA
"390","spaceman",NA,NA,NA
"391","spaceship",NA,NA,NA
"392","stage",NA,NA,NA
"393","volcano","moreno-martinez",99,"volcano.jpg"
"394","antelope",NA,NA,NA
"395","back",NA,NA,NA
"396","bear","DR2",100,"bear_02_og.jpg"
"397","cafe",NA,NA,NA
"398","cream",NA,NA,NA
"399","crebe",NA,NA,NA
"400","enclosure",NA,NA,NA
"401","escape",NA,NA,NA
"402","flamingo","brodeur",87,"flamingo.jpg"
"403","giraffe","brodeur, DR2",100,"giraffe.jpg"
"404","giraffe","brodeur, DR2",100,"giraffe_01_og.jpg"
"405","gorilla","DR2",85.7,"gorilla_01_og.jpg"
"406","kangaroo","DR2",98.5507246,"kangaroo_02_og.jpg"
"407","middle",NA,NA,NA
"408","monkey","brodeur",73,"proboscismonkey.jpg"
"409","parrot","DR2",78.6,"parrot_02_og.jpg"
"410","peacock","DR2",100,"peacock_01_og.jpg"
"411","rhinocero",NA,NA,NA
"412","zebras",NA,NA,NA
"413","zoo",NA,NA,NA
"414","art",NA,NA,NA
"415","exhibit",NA,NA,NA
"416","exhibition",NA,NA,NA
"417","gallery",NA,NA,NA
"418","king",NA,NA,NA
"419","level","boss",74,"level03a.jpg"
"420","museum",NA,NA,NA
"421","painting","brodeur",71,"painting.jpg"
"422","portrait",NA,NA,NA
"423","activity",NA,NA,NA
"424","anchor","brodeur",93,"anchor.jpg"
"425","apartment",NA,NA,NA
"426","artist",NA,NA,NA
"427","awning",NA,NA,NA
"428","bait",NA,NA,NA
"429","balcony","DR2",85.7142857,"balcony_01_og.jpg"
"430","bar",NA,NA,NA
"431","bath",NA,NA,NA
"432","bit","moreno-martinez",73,"bit.jpg"
"433","brick","boss",100,"brick.jpg"
"434","chair","brodeur",88,"chair.jpg"
"435","cloud","brodeur",95,"cloud.jpg"
"436","cobblestone",NA,NA,NA
"437","corner",NA,NA,NA
"438","day",NA,NA,NA
"439","daytime",NA,NA,NA
"440","evening",NA,NA,NA
"441","ferris",NA,NA,NA
"442","fountain","DR2",100,"fountain_01_og.jpg"
"443","gas",NA,NA,NA
"444","gentleman",NA,NA,NA
"445","grass",NA,NA,NA
"446","hair",NA,NA,NA
"447","home",NA,NA,NA
"448","lady",NA,NA,NA
"449","lawn",NA,NA,NA
"450","leg",NA,NA,NA
"451","life",NA,NA,NA
"452","milk",NA,NA,NA
"453","milkman",NA,NA,NA
"454","motorcycle","DR2",98.4,"motorcycle_02_og.jpg"
"455","mover",NA,NA,NA
"456","mower",NA,NA,NA
"457","neighbor",NA,NA,NA
"458","neighborhood",NA,NA,NA
"459","night",NA,NA,NA
"460","rest",NA,NA,NA
"461","right",NA,NA,NA
"462","road","DR2",85.7142857,"road_02_og.jpg"
"463","roof","DR2",90.9,"roof_02_og.jpg"
"464","rooftop",NA,NA,NA
"465","sale",NA,NA,NA
"466","scooter","brodeur",90,"scooter.jpg"
"467","shaker",NA,NA,NA
"468","shutter",NA,NA,NA
"469","skirt","moreno-martinez",99,"skirt.jpg"
"470","stone",NA,NA,NA
"471","telescope","DR2",100,"telescope_01_og.jpg"
"472","tie","DR2",100,"tie_02_og.jpg"
"473","towel",NA,NA,NA
"474","village",NA,NA,NA
"475","walk",NA,NA,NA
"476","wheel","boss",82,"wheel01.jpg"
"477","wheelchair","DR2",98.1,"wheelchair_01_og.jpg"
"478","yard",NA,NA,NA
"479","attention",NA,NA,NA
"480","base",NA,NA,NA
"481","bedroom",NA,NA,NA
"482","bicycle","DR2",94.9152542,"bicycle_02_og.jpg"
"483","cage",NA,NA,NA
"484","carpet",NA,NA,NA
"485","circle",NA,NA,NA
"486","clouds",NA,NA,NA
"487","computer",NA,NA,NA
"488","couch","DR2",100,"couch_02_og.jpg"
"489","crayon","boss",82,"crayon.jpg"
"490","dome",NA,NA,NA
"491","doorway",NA,NA,NA
"492","draw",NA,NA,NA
"493","dresser","DR2",78.5714286,"dresser_02_og.jpg"
"494","forest",NA,NA,NA
"495","gold",NA,NA,NA
"496","guard",NA,NA,NA
"497","hydrant",NA,NA,NA
"498","magic",NA,NA,NA
"499","marker","boss",82,"marker01a.jpg"
"500","moat",NA,NA,NA
"501","papers",NA,NA,NA
"502","platform",NA,NA,NA
"503","propeller",NA,NA,NA
"504","purple",NA,NA,NA
"505","rectangle",NA,NA,NA
"506","reflection",NA,NA,NA
"507","sister",NA,NA,NA
"508","skateboard","brodeur, DR2",100,"skateboard.jpg"
"509","skateboard","brodeur, DR2",100,"skateboard_01_og.jpg"
"510","soldier","DR2",75,"soldier_01_og.jpg"
"511","star",NA,NA,NA
"512","stove","DR2",95.4545455,"stove_01_og.jpg"
"513","stream",NA,NA,NA
"514","towers",NA,NA,NA
"515","traffic",NA,NA,NA
"516","waterfall","brodeur",95,"waterfall.jpg"
"517","world",NA,NA,NA
"518","lifeguard",NA,NA,NA
"519","mushroom","boss",100,"mushroom01.jpg"
"520","park",NA,NA,NA
"521","rainbow",NA,NA,NA
"522","slide","DR2",95.5,"slide_02_og.jpg"
"523","splash",NA,NA,NA
"524","cactus","brodeur",93,"cactus.jpg"
"525","sumo",NA,NA,NA
"526","tongue","moreno-martinez",92,"tongue.jpg"
"527","wrestler",NA,NA,NA
"528","archway",NA,NA,NA
"529","buddha",NA,NA,NA
"530","crown","brodeur",88,"crown.jpg"
"531","dragonfly","brodeur",76,"dragonfly02.jpg"
"532","flipper",NA,NA,NA
"533","gear",NA,NA,NA
"534","helmet","DR2",100,"helmet_01_og.jpg"
"535","island","moreno-martinez",84,"island.jpg"
"536","key","boss",97,"key01.jpg"
"537","orange","boss",100,"orange.jpg"
"538","rain",NA,NA,NA
"539","scuba",NA,NA,NA
"540","seahorse","DR2",96.4,"seahorse_02_og.jpg"
"541","seat",NA,NA,NA
"542","spear","brodeur",75,"spear02.jpg"
"543","squid","brodeur",88,"squid.jpg"
"544","swing","brodeur",98,"swing.jpg"
"545","tank","DR2",95.1,"tank_02_og.jpg"
"546","temple",NA,NA,NA
"547","underwater",NA,NA,NA
"548","bathroom",NA,NA,NA
"549","beard",NA,NA,NA
"550","board",NA,NA,NA
"551","butterfly","moreno-martinez",99,"butterfly.jpg"
"552","cave",NA,NA,NA
"553","ceiling",NA,NA,NA
"554","fall",NA,NA,NA
"555","feather","boss",100,"feather03a.jpg"
"556","inside",NA,NA,NA
"557","moon","moreno-martinez",95,"moon.jpg"
"558","periscope",NA,NA,NA
"559","sink","DR2",97.6190476,"sink_01_og.jpg"
"560","submarine","DR2",100,"submarine_02_og.jpg"
"561","throne",NA,NA,NA
"562","trap",NA,NA,NA
"563","bouquet",NA,NA,NA
"564","chess",NA,NA,NA
"565","giant",NA,NA,NA
"566","giants",NA,NA,NA
"567","hammer","boss",100,"hammer01.jpg"
"568","straw","boss",83,"straw.jpg"
"569","windmill","brodeur, DR2",100,"windmill.jpg"
"570","windmill","brodeur, DR2",100,"windmill_02_og.jpg"
"571","accident",NA,NA,NA
"572","ambulance",NA,NA,NA
"573","crossing",NA,NA,NA
"574","engine",NA,NA,NA
"575","fireman",NA,NA,NA
"576","garage",NA,NA,NA
"577","hotel",NA,NA,NA
"578","manhole",NA,NA,NA
"579","market",NA,NA,NA
"580","mop","DR2",100,"mop_01_og.jpg"
"581","snorkel",NA,NA,NA
"582","square",NA,NA,NA
"583","store",NA,NA,NA
"584","triangle","brodeur",79,"triangle.jpg"
"585","waiter","DR2",97.1428571,"waiter_01_og.jpg"
"586","arch",NA,NA,NA
"587","aurora",NA,NA,NA
"588","body",NA,NA,NA
"589","borealis",NA,NA,NA
"590","bottle","DR2",90.9090909,"bottle_01_og.png"
"591","branch",NA,NA,NA
"592","buoy",NA,NA,NA
"593","can",NA,NA,NA
"594","cape",NA,NA,NA
"595","character",NA,NA,NA
"596","claw",NA,NA,NA
"597","coral",NA,NA,NA
"598","crab","brodeur",98,"crab01.jpg"
"599","crane",NA,NA,NA
"600","deer","DR2",100,"deer_01_og.jpg"
"601","donut",NA,NA,NA
"602","dot",NA,NA,NA
"603","eel",NA,NA,NA
"604","fin",NA,NA,NA
"605","fins",NA,NA,NA
"606","float",NA,NA,NA
"607","foreground",NA,NA,NA
"608","hmm",NA,NA,NA
"609","iceberg","moreno-martinez",81,"iceberg_.jpg"
"610","jellyfish","brodeur",95,"jellyfish.jpg"
"611","jester",NA,NA,NA
"612","lighthouse","DR2",100,"lighthouse_01_og.jpg"
"613","lightning",NA,NA,NA
"614","lobster","DR2",100,"lobster_02_og.jpg"
"615","nostril",NA,NA,NA
"616","oh",NA,NA,NA
"617","oil",NA,NA,NA
"618","opening",NA,NA,NA
"619","outfit",NA,NA,NA
"620","pair",NA,NA,NA
"621","pattern",NA,NA,NA
"622","pearl",NA,NA,NA
"623","pier",NA,NA,NA
"624","pipe","brodeur",83,"pipe.jpg"
"625","pole",NA,NA,NA
"626","reef",NA,NA,NA
"627","rod",NA,NA,NA
"628","root",NA,NA,NA
"629","scissors","boss",100,"scissors01.jpg"
"630","seagull","moreno-martinez",83,"seagull.jpg"
"631","seal","brodeur",88,"seal.jpg"
"632","serpent",NA,NA,NA
"633","shell",NA,NA,NA
"634","spot",NA,NA,NA
"635","stingray",NA,NA,NA
"636","storm",NA,NA,NA
"637","stuff",NA,NA,NA
"638","sun","moreno-martinez",75,"sun.jpg"
"639","surface",NA,NA,NA
"640","tooth",NA,NA,NA
"641","trash",NA,NA,NA
"642","tunnel",NA,NA,NA
"643","turtle","DR2",95.2380952,"turtle_01_og.jpg"
"644","vessel",NA,NA,NA
"645","view",NA,NA,NA
"646","wave","moreno-martinez",89,"wave.jpg"
"647","whale",NA,NA,NA
"648","zebra","moreno-martinez",99,"zebra.jpg"
"649","bank",NA,NA,NA
"650","buffalo",NA,NA,NA
"651","cowboy",NA,NA,NA
"652","heriff",NA,NA,NA
"653","jail",NA,NA,NA
"654","livery",NA,NA,NA
"655","mine",NA,NA,NA
"656","pioneer",NA,NA,NA
"657","saloon",NA,NA,NA
"658","stable",NA,NA,NA
"659","stagecoach",NA,NA,NA
"660","sunset",NA,NA,NA
"661","track",NA,NA,NA
"662","wagon",NA,NA,NA
"663","wild",NA,NA,NA
